	75
christmas.n.02:Christmas	1448
want.v.02:want	120
aunt.n.01:aunt	2425
thirty.s.01:30	946
female_child.n.01:girl	885
rescue.n.01:delivery	1113
report.v.01:describe	4256
reason.n.01:reason	8691
give.v.01:give	1709
star.n.05:star	1563
wash.v.05:wash	7422
however.r.01:yet	13675
know.v.01:know	2281
other.a.01:other	1126
light.n.02:light	30728
besides.r.02:also	5482
particularly.r.01:especially	5
spin.v.07:spin	4882
function.v.01:run	708
side.n.05:side	506
business.n.01:concern	29468
large.a.01:big	3393
elastic.a.01:elastic	961
moment.n.01:minute	14723
see.v.01:see	5
affection.n.01:heart	84
jump.v.13:skip	22
beat.v.04:beat	36372
nice.a.01:nice	4391
case.n.01:case	1378
kind.n.01:sort	693
collection.n.01:collection	1345
compartment.n.02:compartment	45
layout.n.02:layout	5336
endowment.n.01:gift	484
hesitate.v.02:hesitate	1826
please.v.02:please	567
fair.a.01:fair	558
check.n.01:check	19692
approximately.r.01:around	4397
well.r.07:well	592
adult.n.02:adult	14948
though.r.01:though	2125
entail.v.01:mean	372
plaything.n.01:toy	633
serious.a.01:serious	4689
jewelry.n.01:jewelry	15
fan.n.03:lover	6894
bargain.n.02:buy	2507
box.n.02:box	1435
together.r.02:together	103
amour_propre.n.01:vanity	1082
product.n.03:product	1744
set.n.05:lot	567
girlfriend.n.02:girlfriend	694
give.v.08:gift	2042
idea.n.01:idea	5377
commend.v.04:recommend	30
clamber.v.01:shinny	369
image.n.01:image	1040
brown.s.01:brown	5772
second.a.02:second	6640
arrive.v.01:arrive	196
cancel.v.01:scratch	3328
first.r.02:first	200
first_step.n.01:opening	15293
reasonably.r.01:pretty	7269
bad.a.01:bad	4835
person.n.01:person	6403
timbre.n.01:quality	2800
less.a.01:less	7622
return.v.01:return	343
refund.n.01:refund	12051
problem.n.01:problem	7
shining.n.01:shining	2497
fine.n.01:fine	137
title.n.01:title	16
sum_up.v.01:summarize	890
idea.n.01:thought	5160
decide.v.01:decide	1285
reappraisal.n.01:review	189
grandma.n.01:grandma	4571
wish.v.02:wish	389
drawer.n.01:drawer	52
profoundly.r.01:deeply	12615
many.a.01:many	4834
necklace.n.01:necklace	264
stop.v.01:stop	272
prevent.v.02:prevent	7
tip.v.09:tip	215
message.n.02:content	297
entirely.r.02:entirely	2383
remove.v.01:remove	2859
part.n.03:piece	54
background.n.01:background	45
cognition.n.01:knowledge	135
action.n.01:action	2337
pull.v.01:pull	494
basis.n.02:base	1619
necessitate.v.01:require	284
practice.n.01:practice	6376
hand.n.01:hand	444
miss.v.06:lack	124
contend.v.06:struggle	50
spill.v.06:spill	211
stingily.r.01:cheaply	34
arrangement.n.03:organization	6566
certain.a.02:sure	53
digest.v.03:stand	4943
inch.n.01:inch	584
space.n.03:space	305
compact.a.01:compact	2353
feature.n.01:feature	703
learn.v.02:learn	7
lyric.n.01:language	88
software.n.01:software	156
alive.a.01:live	416
area.n.01:country	1811
propose.v.01:suggest	742
pick.v.02:pick	1123
rock.n.02:stone	478
degree.n.01:level	14
french.n.01:French	15
level.v.06:level	114
invest.v.01:invest	5
concentration.n.05:immersion	1047
choice.n.02:option	3915
thing.n.01:thing	1779
while.n.01:while	266
environment.n.01:environment	7695
might.n.01:might	9267
work.v.01:work	4908
either.r.01:either	2764
sometimes.r.01:sometimes	973
weekend.n.01:weekend	376
evening.n.01:evening	4938
hour.n.01:hour	53
analyze.v.01:study	493
oregon.n.01:Oregon	5610
possibly.r.01:maybe	55
classroom.n.01:classroom	50
teacher.n.01:instructor	539
computer.n.01:computer	233
plan.n.01:program	3969
rather.r.01:instead	8
synergistic.a.01:interactive	438
cross.n.03:Cross	884
family.n.01:home	24
spanish.n.01:Spanish	27
microphone.n.01:microphone	24
learning.n.01:learning	457
question.n.01:question	4193
help.v.01:help	1151
word.n.01:word	2201
aid.n.02:help	180
retain.v.03:retain	1094
unlike.a.01:unlike	8797
work.n.01:work	60
footstep.n.03:pace	498
prize.v.01:appreciate	14657
necessitate.v.01:take	29
spanish.a.01:Spanish	227
student.n.01:student	315
fly.v.01:fly	746
ahead.r.01:ahead	368
stay.v.01:rest	1934
united_states.n.01:the_States	1970
let.v.01:let	1397
fast.r.01:fast	229
slow.a.01:slow	1654
goal.n.01:end	803
miss.v.06:miss	219
group.n.01:group	91
stranger.n.01:stranger	69
france.n.01:France	119
life.n.02:living	8454
probably.r.01:probably	929
fast.a.01:fast	142
french.a.01:French	179
realistic.a.01:realistic	6443
people.n.01:people	2622
ace.n.03:star	12941
however.r.01:however	3657
batch.n.02:deal	2616
free.a.01:free	8
demonstration.n.05:demo	48
compact_disk.n.01:CD	3517
first.r.01:first	550
procedure.n.01:process	10986
spirit.n.02:feel	1911
sit.v.01:sit	7
desktop.n.01:desktop	791
thrill.v.01:thrill	252
associate.v.01:link	363
immediately.r.01:directly	50
report.v.01:account	88
wherever.r.01:wherever	21913
necessitate.v.01:need	4639
three.s.01:three	7478
calendar_month.n.01:month	30
advancement.n.03:progress	35
backyard.n.01:backyard	682
along.r.01:on	79
ninety-one.s.01:91	114
abruptly.r.01:suddenly	210
associate.v.01:connect	1220
course.n.01:course	13977
detect.v.01:find	1659
become.v.02:turn	651
part.n.01:portion	178
test.n.05:trial	5151
expensive.a.01:expensive	1
subscription.n.01:subscription	2220
no.n.01:no	402
page.n.01:page	48
companion.n.01:companion	496
interpretation.n.01:version	4129
disappoint.v.01:disappoint	137
call.v.03:call	48
rep.n.02:rep	244
talk.v.01:speak	233
information.n.01:info	482
write.v.01:write	122
former.a.01:former	4088
attempt.n.01:try	24
aid.n.02:assist	1678
offer.v.01:offer	80
partial.a.02:partial	425
refund.n.02:refund	154
call.n.01:call	4321
topographic_point.n.01:place	3702
ago.r.01:ago	1207
change.v.01:change	471
ninety.s.01:90	1819
update.n.01:update	20
august.n.01:Aug	227
twenty-three.s.01:23	3068
see.n.01:see	138
update.v.01:update	2197
description.n.01:description	5125
slightly.r.01:slightly	28795
become.v.01:go	27
mobile.a.02:mobile	129
fire.n.01:fire	95
three.n.01:three	340
access.n.03:access	349
personally.r.01:personally	6
mobile.s.01:mobile	10223
much.r.01:much	127
least.r.01:least	49
install.v.01:install	291
seat.n.01:seat	125
minimal.a.01:minimum	1049
end.v.02:end	749
second.s.01:2nd	22
facility.n.01:installation	127
laptop.n.01:laptop	215
location.n.01:location	8
submersion.n.02:immersion	141
method.n.01:method	11
intensive.a.03:intensive	1548
put.v.01:place	4530
away.r.01:away	178
home.v.02:home	12932
enough.r.01:enough	240
stuck.a.01:stuck	1724
couple.n.04:couple	13
headset.n.01:headset	156
sufficient.a.01:sufficient	1097
professional.n.02:pro	3684
type.n.01:type	805
education.n.01:instruction	172
benefit.n.02:benefit	7
communicate.v.02:communicate	46
voice.n.01:voice	18
recognition.n.01:recognition	318
impressive.a.01:impressive	1756
immediately.r.01:immediately	1301
get_down.v.07:begin	15
build_up.v.02:progress	21
difficulty.n.02:difficulty	2376
reasonably.r.01:fairly	3959
quickly.r.01:quickly	6590
there.r.01:there	811
use.n.01:exercise	5
repeat.n.01:repetition	225
surely.r.01:surely	10
pronunciation.n.02:pronunciation	28
session.n.03:session	2084
let.v.01:allow	7
native.a.03:native	19
speaker.n.01:speaker	221
individual.a.01:individual	390
formal.a.01:formal	88
bunco.n.01:con	51
restriction.n.01:limitation	2000
number.n.01:number	1
seat.v.02:seat	540
lack.n.01:lack	175
physical.a.01:physical	10635
material.n.01:material	37
index.n.02:index	135
poster.n.01:card	2
coupling.n.03:conjugation	2
grammatical.a.02:grammatical	97
convention.n.02:rule	15672
find.v.05:feel	178
beginning.n.04:source	240
individually.r.01:separately	994
prefer.v.01:prefer	261
outside.n.01:outside	705
simpleton.n.01:simple	63
identify.v.01:identify	879
form.n.03:pattern	1097
o.k..n.01:okay	504
admit.v.01:admit	66
million.n.01:million	220
american.n.01:American	19
massively.r.01:massively	126
clamber.v.01:struggle	127
language.n.01:language	46
english.a.01:English	1740
recently.r.01:recently	464
college.n.01:college	180
stopping_point.n.01:finish	8
bachelor.n.01:bachelor	20
university.n.01:university	2
enroll.v.01:enrol	47
foreign.a.01:foreign	59
killing.n.02:kill	13885
become.v.01:get	90
sound.v.03:sound	40685
like.v.02:like	28
idiot.n.01:idiot	9091
actually.r.01:actually	30
possibility.n.02:possibility	871
ready.a.01:ready	47
jet.n.01:jet	14
dispatch.v.02:complete	3
idiot.n.01:moron	860
name.v.01:call	126
success.n.01:success	2267
whole.a.01:whole	1674
belt_out.v.01:belt	17361
back.r.01:back	270
pick.v.01:pick	290
degree.n.02:level	4494
product.n.02:product	969
nowadays.r.01:now	3129
make.v.01:do	169
sell.n.01:sell	9
lawyer.n.01:lawyer	34
touch.v.05:contact	1010
site.n.01:site	262
list.v.02:list	258
obviously.r.01:apparently	65
item.n.01:point	25
font.n.01:font	41
disclaimer.n.01:disclaimer	1721
box.v.01:package	107
license.n.01:license	1991
sell.v.01:sell	17
sum.n.02:total	269
crap.n.01:crap	1306
enjoy.v.01:enjoy	438
stone.n.02:stone	2271
fun.n.01:fun	18
dynamic.a.01:dynamic	658
traditional.a.01:traditional	495
see.v.05:see	61
english.n.01:English	10044
new.a.01:new	1359
liter.n.01:litre	146
roentgen.n.01:roentgen	33
entertainment.n.01:amusement	2
french.v.01:French	12
conditioned.a.01:learned	2052
now.r.01:now	3964
trip.n.01:trip	1
colloquially.r.01:conversationally	83
substitute.n.01:substitute	694
deep.a.01:deep	1017
useful.a.01:useful	58
instrument.n.02:tool	70
fundamentals.n.01:basics	426
human_body.n.01:build	404
batch.n.02:wad	703
understand.v.02:understand	96
associate.v.01:associate	234
concept.n.01:concept	537
quite.r.01:rather	25
understand.v.03:translate	273
internet.n.01:internet	70
community.n.01:community	2704
cool.a.01:cool	418
convict.n.01:con	1145
doe.n.02:doe	30
focus.v.02:focus	3068
think.v.02:guess	296
interested.a.01:interested	1199
worth.n.02:worth	287
confident.a.01:confident	179
louisiana.n.01:LA	506
means.n.01:means	32
drink.n.01:drink	1114
oklahoma.n.01:OK	485
experience.n.02:experience	1577
rock.n.01:stone	2107
problem.n.01:job	5342
highly.r.01:highly	11577
decidedly.r.01:definitely	512
thrust.v.02:stuff	37
starter.n.07:starter	65
earphone.n.01:headphone	554
ear.n.02:ear	3759
hot.a.01:hot	17
styrofoam.n.01:Styrofoam	708
ball.n.01:ball	3991
least.a.01:least	4012
consolation.n.02:comfort	1123
erosion.n.01:wearing	747
moment.n.01:second	1461
about.r.07:nearly	1
piracy.n.01:piracy	104
boodle.n.01:scratch	436
twenty-eight.s.01:28	127
code.n.01:code	464
card.n.02:card	80
manually.r.01:manually	19
download.v.01:download	249
dull.a.02:dull	391
surely.r.01:sure	460
quicker.r.01:faster	4636
sol.n.03:so	535
dad.n.01:pop	110
application.n.01:application	2101
battalion.n.02:pack	2463
available.a.01:available	105
apparatus.n.01:setup	206
user.n.01:user	148
profile.n.01:profile	117
then.n.01:then	1757
ultimately.r.01:finally	4923
get_down.v.07:start	540
overall.n.01:overall	3914
star.n.01:star	92
identify.v.05:key	6167
low.a.01:low	3484
supply.v.01:provide	57
lesson.n.01:lesson	1202
carry.v.02:pack	343
smart.a.01:smart	4
developer.n.01:developer	1146
review.v.01:review	605
complete.a.01:complete	3
implementation.n.02:implementation	29
point_of_view.n.01:standpoint	201
necessitate.v.01:involve	1671
properly.r.01:right	6271
quite.r.01:quite	7562
tend.v.01:run	40
plug.n.01:plug	45
port.n.01:port	3983
occupation.n.01:line	4937
support.n.06:support	472
learn.v.02:hear	497
understand.v.02:see	30
react.v.01:respond	17
sweep.n.01:sweep	17
involved.a.01:involved	9
romanticism.n.03:romance	30
traditionally.r.01:traditionally	209
teach.v.01:teach	560
helpful.a.01:helpful	48
hire.v.01:engage	43
negative.n.01:negative	7541
may.n.01:May	270
tape.n.01:tape	7
compact_disk.n.01:compact_disk	761
book.n.01:book	1485
important.a.01:important	27
phrase.n.01:phrase	25
native.a.01:native	926
constantly.r.01:constantly	7
rub.v.02:fret	457
mistake.n.01:mistake	398
willing.a.01:willing	1726
wage.n.01:pay	12483
love.v.01:love	6
audio.n.01:audio	639
love.v.02:enjoy	5
format.n.01:format	5
refresher_course.n.01:refresher	6698
like.a.01:like	1
aurally.r.01:aurally	14
native.a.02:native	3
speech.n.02:speech	1061
properly.r.01:properly	100
ocular.a.02:visual	208
sound.n.01:sound	353
practice.v.01:exercise	1070
extremely.r.02:extremely	185
multiple.n.01:multiple	44
videodisk.n.01:DVD	8
grammar.n.01:grammar	1129
function.n.02:function	721
despite.n.02:despite	164
attempt.n.01:attempt	2025
customer.n.01:customer	1684
service.n.01:service	6
techie.n.01:techie	7642
get.n.01:get	26
access.n.04:access	29
enhance.v.01:enhance	42
skill.n.01:skill	2361
establish.v.08:base	922
experience.n.01:experience	76
see.v.10:assure	574
life.n.02:life	1685
child.n.01:child	10
french.n.02:French	2792
head.n.01:head	1065
vacation.n.01:vacation	91
learn.v.01:learn	35
translation.n.01:version	1813
function.n.02:use	89
ipod.n.01:iPod	494
touch.n.02:touch	130
entree.n.02:access	178
game.n.02:game	15
chew_the_fat.v.01:chat	223
sorrow.n.02:regret	179
oklahoman.n.01:Sooner	1667
surely.r.01:certainly	703
throughout.r.01:throughout	1
educate.v.03:school	1383
sister.n.01:sister	63
here.r.02:here	1129
be.v.01:be	3531
work.v.02:work	4909
show.v.01:show	610
picture.v.02:picture	20
practice.v.01:practice	3106
dry.a.01:dry	131
bore.v.02:bore	92
yard.n.01:pace	2169
four.s.01:four	5522
area.n.01:area	258
listen.v.01:listen	5854
read.v.01:read	727
write.v.02:write	740
activity.n.01:activity	728
combination.n.01:combination	56
lesson.n.04:lesson	25
concentrate.v.02:focus	34
peer.n.01:peer	653
stimulate.v.01:excite	2225
necessitate.v.01:ask	1708
compare.v.01:compare	408
military.a.01:military	11
station.v.01:station	424
europe.n.01:Europe	4594
friend.n.01:friend	3
quiz.n.01:quiz	508
american.a.01:American	57
condition.n.01:status	9
latin.n.01:Latin	5
love_affair.n.01:romance	30
italian.n.02:Italian	1
galician.n.01:Galician	1
mestizo.n.01:ladino	3
lombard.n.01:Lombard	1
neapolitan.n.01:Neapolitan	1
provencal.n.01:Occitan	1
romansh.n.01:Romansh	1
sardinian.n.02:Sardinian	1
sicilian.n.01:Sicilian	5
venetian.n.01:Venetian	2
walloon.n.02:Walloon	404
major.a.01:major	2700
attractive.a.01:attractive	915
offer.n.02:offer	2136
choose.v.01:choose	2
eruditeness.n.01:learning	1885
well.n.01:well	68
text.n.01:text	2
dictionary.n.01:dictionary	149
restrict.v.03:limit	4495
subsequently.r.01:after	104
tempt.v.03:tempt	848
family.n.01:family	1476
understand.v.02:realize	22
converse.v.01:converse	74
human.a.01:human	717
remember.v.01:remember	2208
populate.v.01:live	71
germany.n.01:Germany	8
german.n.02:German	179
conversation.n.01:conversation	28
german.a.01:German	146
answer.v.01:answer	182
somehow.r.01:somehow	74
percentage.n.01:percent	110
find.v.01:encounter	1
dialect.n.01:dialect	33
bet_on.v.01:back	530
indicate.v.02:point	102
moral.n.01:lesson	3499
mustiness.n.01:must	2147
spend.v.01:spend	1662
ohio.n.01:Ohio	23
technical.a.02:technical	981
possible.a.01:possible	25
dilemma.n.01:dilemma	209
european.a.01:European	52
unlikely.a.02:unlikely	1284
then.r.01:then	4578
state.v.01:tell	1
linguistic.a.01:lingual	248
do.n.02:do	216
junior.a.01:junior	5887
far.r.01:far	1504
outside.r.01:outside	524
public.a.01:public	1783
date.n.01:date	2
spokeswoman.n.01:spokeswoman	23
radius.n.01:radius	450
batch.n.02:pot	961
option.n.02:option	129
repeat.n.01:repeat	2324
material.n.01:stuff	4445
normal.a.01:normal	1456
actual.a.01:actual	3158
summation.n.04:plus	1342
cover.v.05:cover	6
complexity.n.01:complexity	8
confirmation.n.01:verification	67
larceny.n.01:theft	2412
usual.a.01:usual	67
buyer.n.01:purchaser	119
wise.n.01:wise	1226
car.n.01:machine	494
hard.r.01:hard	2060
travel.v.01:move	113
fear.v.02:dread	132
caution.n.02:caveat	114
apart.r.02:aside	8
refer.v.02:pertain	5119
real.a.01:real	113
italian.a.01:Italian	75
ballyhoo.n.01:hype	4642
inch.n.01:in	38
arrangement.n.03:system	13
particular.n.01:specific	23
advantage.v.01:advantage	326
notice.v.02:mark	7
disadvantage.v.01:disadvantage	1
positive.n.01:positive_degree	7
submersion.n.02:submersion	47
technique.n.01:technique	291
hear.v.01:hear	64
efficaciously.r.01:effectively	61
mind.n.01:brain	17
forced.a.01:forced	865
certain.a.02:certain	55
connection.n.01:connection	127
additionally.r.01:additionally	291
case.n.01:example	172
male.a.01:male	1205
male_child.n.01:boy	5458
man.n.01:man	79
pop.v.03:pop	2
commonalty.n.01:commonality	7488
difficult.a.01:hard	176
constitute.v.01:represent	25
faculty.n.01:module	5
scatter.v.03:scatter	5
comprehension.n.01:comprehension	305
type.v.01:type	25
review.n.02:review_article	429
complete.v.01:finish	411
department.n.01:section	328
fresh.a.01:fresh	1604
mind.n.01:mind	839
basically.r.01:basically	17
memorize.v.01:memorize	1
recall.n.04:recall	1147
bring.v.01:bring	356
remind.v.01:remind	18
painless.a.02:painless	40
help.v.01:aid	547
two_hundred.s.01:200	1625
cost.n.01:cost	2001
yes.n.01:yes	476
cost.v.02:cost	692
price.v.01:price	1099
concern.v.02:worry	1422
continue.v.01:continue	392
oregon.n.01:OR	1639
set.n.05:set	23
argue.v.01:argue	254
drop.v.01:drop	4566
one-half.n.01:half	359
discount.n.01:discount	985
multiple.a.01:multiple	507
test.v.01:test	117
five_hundred.s.01:500	5025
put.v.01:set	224
shooting.n.01:shot	302
reading.n.01:reading	36
use.n.01:utilization	1060
are.n.01:are	1
buggy.n.01:roadster	18
unsuccessfully.r.01:unsuccessfully	2329
think.v.02:suppose	352
fail.v.01:fail	972
life.n.01:life	2644
think.v.01:believe	16
united_states_post_office.n.01:PO	117
thwart.v.01:frustrate	1031
every.s.01:every	430
luck.n.02:luck	1
syllabic.a.05:syllabic	1
dictionary.n.01:lexicon	85
criticism.n.03:criticism	6
engagement.n.07:participation	1055
on-line.a.02:online	4739
wife.n.01:wife	2951
detect.v.01:notice	15
sentence.n.01:sentence	10
segment.v.01:section	191
opportunity.n.01:opportunity	1454
mine.n.01:mine	7
italian.n.01:Italian	105
coerce.v.01:force	905
motion.n.03:move	197
overseas.r.02:overseas	4
starve.v.01:starve	2
library.n.02:library	21
reservation.n.01:reservation	11
example.n.04:lesson	5585
consequence.n.01:issue	7
assuredly.r.01:assuredly	1225
version.n.02:version	1589
distribute.v.01:lot	196
sooner.r.01:sooner	187
close.a.01:close	250
naturally.r.01:naturally	51
challenge.n.01:challenge	724
past.n.01:past	94
classify.v.01:class	634
contempt.n.01:despite	216
parent.n.01:parent	40
digest.v.03:bear	19
raise.v.01:raise	178
italy.n.01:Italy	836
traction.n.02:traction	2113
difference.n.01:difference	12
pace.v.01:pace	1259
tool.n.01:tool	43
stumble.v.02:stumble	285
block.n.01:block	15
slow.v.02:slow	203
conscious.a.02:conscious	70
robust.a.01:robust	50
survey.n.01:study	334
effective.a.01:effective	348
minor.a.01:minor	20
nit.n.02:nit	280
choice.n.02:pick	432
rag.n.01:tag	61
sound.a.01:sound	122
use.n.01:usage	35
welcome.v.01:welcome	14422
foot.n.01:foot	1352
wet.a.01:wet	2061
become.v.01:become	311
ability.n.02:ability	2446
unfortunately.r.01:unfortunately	1525
monetary_value.n.01:cost	27
produce.n.01:produce	803
consequence.n.01:result	72
thrill.v.02:thrill	168
begin.n.01:Begin	19
load.n.02:load	2584
simple.a.01:simple	50
approach.n.01:approach	395
agree.v.01:agree	3
post_horse.n.01:poster	6072
purchase.n.02:purchase	5185
matter.n.01:thing	4
communicate.v.01:communicate	1016
across.r.01:across	26
fun.n.01:playfulness	45
vastly.r.01:immensely	71
talk.v.02:speak	1438
short.a.03:short	1
gigahertz.n.01:GHz	109
kernel.n.03:core	8
couple.n.04:duo	1
great_britain.n.02:GB	2
random-access_memory.n.01:RAM	236
oxygen.n.01:O	1252
smooth.a.01:smooth	57
install.v.01:instal	9
megabyte.n.02:MB	2700
need.n.01:need	4
privilege.v.01:privilege	98
sum.n.05:total	1155
minute.n.01:minute	72
data.n.01:data	36
imitate.v.01:copy	47
personal_computer.n.01:PC	1
introduction.n.01:launching	8
establish.v.01:launch	11873
get_down.v.07:get	1273
right.n.01:right	7
configure.v.01:configure	715
finally.r.01:finally	103
random.a.01:random	512
obvious.a.01:obvious	765
play.v.01:play	6369
son.n.01:son	8857
helium.n.01:He	86
snap.v.04:click	6149
correct.a.01:right	5218
absolutely.r.01:absolutely	25
visualize.v.01:image	4
association.n.02:association	31
foreign.a.02:foreign	98
object.n.01:object	22
natural_language.n.01:tongue	16
accept.v.01:accept	4
spoken.a.01:spoken	1630
near.a.01:close	989
correct.a.01:correct	37
entrance.n.01:entry	392
cost.v.01:cost	54
textbook.n.01:textbook	561
third.s.01:3rd	21
solo.n.01:solo	4
apprentice.n.01:learner	5
energizing.n.01:activation	3080
look.v.02:appear	15
valid.a.01:valid	287
suspect.v.01:suspect	3
end.v.01:terminate	30
slow.v.03:slow	1885
